deviceID	flowData	current	watthourData	localDate	localTime	UTCtime
HyErn3Blm	null	1	58.67	2018-07-02	14:13:14	2018-07-02T00:13:14.000Z
HyErn3Blm	null	0	0	2018-07-02	14:28:14	2018-07-02T00:28:14.000Z
HyErn3Blm	null	0	0	2018-07-02	14:43:14	2018-07-02T00:43:14.000Z
HyErn3Blm	null	0	0	2018-07-02	14:58:14	2018-07-02T00:58:14.000Z
HyErn3Blm	null	0	0	2018-07-02	15:13:14	2018-07-02T01:13:14.000Z
HyErn3Blm	null	0	0	2018-07-02	15:28:14	2018-07-02T01:28:14.000Z
HyErn3Blm	null	0	0	2018-07-02	15:43:14	2018-07-02T01:43:14.000Z
HyErn3Blm	null	0	0	2018-07-02	15:58:14	2018-07-02T01:58:14.000Z
HyErn3Blm	null	0.78	45.57	2018-07-02	16:13:15	2018-07-02T02:13:15.000Z
HyErn3Blm	null	3.31	193.63	2018-07-02	16:28:15	2018-07-02T02:28:15.000Z
HyErn3Blm	null	0.98	57.73	2018-07-02	16:43:15	2018-07-02T02:43:15.000Z
HyErn3Blm	null	0	0	2018-07-02	16:58:15	2018-07-02T02:58:15.000Z
HyErn3Blm	null	0	0	2018-07-02	17:13:15	2018-07-02T03:13:15.000Z
HyErn3Blm	null	0	0	2018-07-02	17:28:15	2018-07-02T03:28:15.000Z
HyErn3Blm	null	0	0	2018-07-02	17:43:15	2018-07-02T03:43:15.000Z
HyErn3Blm	null	0	0	2018-07-02	17:58:15	2018-07-02T03:58:15.000Z
HyErn3Blm	null	0	0	2018-07-02	18:13:15	2018-07-02T04:13:15.000Z
HyErn3Blm	null	0	0	2018-07-02	18:28:15	2018-07-02T04:28:15.000Z
HyErn3Blm	null	2.67	158.76	2018-07-02	18:43:15	2018-07-02T04:43:15.000Z
HyErn3Blm	null	0.55	32.97	2018-07-02	18:58:15	2018-07-02T04:58:15.000Z
HyErn3Blm	null	0	0	2018-07-02	19:13:15	2018-07-02T05:13:15.000Z
HyErn3Blm	null	0	0	2018-07-02	19:28:15	2018-07-02T05:28:15.000Z
HyErn3Blm	null	0	0	2018-07-02	19:43:15	2018-07-02T05:43:15.000Z
HyErn3Blm	null	0	0	2018-07-02	19:58:15	2018-07-02T05:58:15.000Z
