slots	current	kWh
00:00	0	0
00:15	0	0
00:30	0	0
00:45	0	0
01:00	0	0
01:15	0	0
01:30	0	0
01:45	0	0
02:00	0	0
02:15	0	0
02:30	0	0
02:45	0	0
03:00	0	0
03:15	0	0
03:30	1.55	91.84
03:45	0.79	46.42
04:00	0	0
04:15	0	0
04:30	0	0
04:45	0	0
05:00	0	0
05:15	0	0
05:30	0	0
05:45	0	0
06:00	0	0
06:15	0	0
06:30	0	0
06:45	0	0
07:00	1.64	98.12
07:15	0.79	47.01
07:30	1.48	88.57
07:45	0	0
08:00	0	0
08:15	0	0
08:30	0	0
08:45	0	0
09:00	0	0
09:15	0	0
09:30	0	0
09:45	0	0
10:00	0	0
10:15	0	0
10:30	0	0
10:45	0	0
11:00	0	0
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0.63	38.08
13:15	0.09	5.33
13:30	0	0
13:45	0	0
14:00	0	0
14:15	0	0
14:30	0	0
14:45	0	0
15:00	0	0
15:15	0	0
15:30	0	0
15:45	0	0.01
16:00	0	0
16:15	0	0.01
16:30	0	0.05
16:45	0.8	47.52
17:00	0.07	4.08
17:15	0	0
17:30	0	0
17:45	0	0
18:00	0	0
18:15	0	0
18:30	0	0
18:45	0	0
19:00	0	0
19:15	0	0
19:30	0.12	6.89
19:45	2.9	173.32
20:00	0	0
20:15	0	0
20:30	0	0
20:45	0	0
21:00	2.48	147.7
21:15	1.37	81.7
21:30	0.66	39.23
21:45	2.41	144.18
22:00	0.55	33.17
22:15	0	0
22:30	0	0
22:45	0	0
23:00	0	0
23:15	0	0
23:30	1.07	63.55
23:45	0	0
