slots	current	kWh
00:00	0	0
00:15	0	0
00:30	0	0
00:45	0	0
01:00	0	0
01:15	0	0
01:30	0	0
01:45	2.15	128.73
02:00	3.38	202.56
02:15	3.37	201.69
02:30	0.7	41.85
02:45	0	0
03:00	0	0
03:15	0	0
03:30	0	0
03:45	0	0
04:00	0	0
04:15	0	0
04:30	0	0
04:45	0.62	36.79
05:00	0.47	27.67
05:15	0	0
05:30	2.68	157.89
05:45	1.26	74.27
06:00	0	0
06:15	0	0
06:30	0	0
06:45	0	0
07:00	0	0
07:15	0	0
07:30	0	0
07:45	0	0
08:00	0	0
08:15	0	0
08:30	0	0
08:45	1.1	65.35
09:00	0	0
09:15	0	0
09:30	1.34	79.82
09:45	1.71	101.46
10:00	0	0
10:15	0	0
10:30	0	0
10:45	0	0
11:00	0	0
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0	0
13:15	0	0
13:30	0	0
13:45	0	0
14:00	0	0
14:15	0	0
14:30	0	0
14:45	0	0
15:00	0	0
15:15	0	0
15:30	0	0
15:45	0	0
16:00	0	0
16:15	0	0
16:30	0	0
16:45	2.01	119.84
17:00	2.78	165.85
17:15	0	0
17:30	0	0
17:45	0	0
18:00	0	0
18:15	0	0
18:30	0	0
18:45	0	0
19:00	0	0
19:15	0	0
19:30	0	0
19:45	0	0
20:00	0	0
20:15	0.97	58.47
20:30	0	0
20:45	0	0
21:00	0	0
21:15	0.24	14.47
21:30	2.77	166.23
21:45	0	0
22:00	2.32	139.61
22:15	2.45	146.53
22:30	0	0
22:45	0.96	57.66
23:00	1.58	94.62
23:15	0	0
23:30	0	0
23:45	0	0
