slots	current	kWh
00:00	0	0
00:15	1.32	77.9
00:30	3.35	199.16
00:45	0.38	22.53
01:00	0	0
01:15	0	0
01:30	0	0
01:45	0	0
02:00	0	0
02:15	0	0
02:30	0	0
02:45	0	0
03:00	0	0
03:15	0	0
03:30	0	0
03:45	0	0
04:00	0	0
04:15	0	0
04:30	0.98	57.58
04:45	0	0
05:00	1.87	110.32
05:15	3.19	187.96
05:30	0	0
05:45	2.81	164.79
06:00	0	0
06:15	0	0
06:30	0	0
06:45	0	0
07:00	0	0
07:15	0	0
07:30	0	0
07:45	0	0
08:00	0	0
08:15	0	0
08:30	0	0
08:45	0	0
09:00	0	0
09:15	0	0
09:30	0	0
09:45	0	0
10:00	0	0
10:15	0	0
10:30	0	0
10:45	0	0
11:00	0	0
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0	0
13:15	2.31	138.64
13:30	0.1	6.26
13:45	0	0
14:00	0	0
14:15	0	0
14:30	0	0
14:45	0	0
15:00	0	0
15:15	0	0
15:30	0	0
15:45	0	0
16:00	0	0
16:15	0	0
16:30	0	0
16:45	2.55	153.39
17:00	0	0
17:15	0	0
17:30	0	0
17:45	0	0.01
18:00	0	0
18:15	0	0.01
18:30	0.47	28.05
18:45	0	0
19:00	0	0
19:15	0	0
19:30	0	0
19:45	0	0
20:00	0	0
20:15	0	0
20:30	0	0
20:45	0	0
21:00	0	0
21:15	2.04	121.67
21:30	0.89	52.92
21:45	0	0
22:00	0	0
22:15	0	0
22:30	0	0
22:45	3.07	179.52
23:00	2.29	134.04
23:15	0.45	26.5
23:30	2.76	165.57
23:45	0	0
