deviceID	flowData	current	watthourData	localDate	localTime	UTCtime
HyErn3Blm	null	0.03	2.04	2018-07-12	14:06:43	2018-07-12T00:06:43.000Z
HyErn3Blm	null	3.4	205.75	2018-07-12	14:21:43	2018-07-12T00:21:43.000Z
HyErn3Blm	null	3.4	204.77	2018-07-12	14:36:44	2018-07-12T00:36:44.000Z
HyErn3Blm	null	1.95	117.04	2018-07-12	14:51:44	2018-07-12T00:51:44.000Z
HyErn3Blm	null	0.86	51.53	2018-07-12	15:06:44	2018-07-12T01:06:44.000Z
HyErn3Blm	null	2.96	177.07	2018-07-12	15:21:44	2018-07-12T01:21:44.000Z
HyErn3Blm	null	1.95	116.33	2018-07-12	15:36:44	2018-07-12T01:36:44.000Z
HyErn3Blm	null	0	0	2018-07-12	15:51:44	2018-07-12T01:51:44.000Z
HyErn3Blm	null	0	0	2018-07-12	16:06:44	2018-07-12T02:06:44.000Z
HyErn3Blm	null	0	0	2018-07-12	16:21:44	2018-07-12T02:21:44.000Z
HyErn3Blm	null	0	0	2018-07-12	16:36:44	2018-07-12T02:36:44.000Z
HyErn3Blm	null	0	0	2018-07-12	16:51:44	2018-07-12T02:51:44.000Z
HyErn3Blm	null	0	0	2018-07-12	17:06:44	2018-07-12T03:06:44.000Z
HyErn3Blm	null	0	0	2018-07-12	17:21:44	2018-07-12T03:21:44.000Z
HyErn3Blm	null	0	0	2018-07-12	17:36:44	2018-07-12T03:36:44.000Z
HyErn3Blm	null	0	0	2018-07-12	17:51:44	2018-07-12T03:51:44.000Z
HyErn3Blm	null	0	0	2018-07-12	18:06:44	2018-07-12T04:06:44.000Z
HyErn3Blm	null	0	0	2018-07-12	18:21:44	2018-07-12T04:21:44.000Z
HyErn3Blm	null	0	0	2018-07-12	18:36:45	2018-07-12T04:36:45.000Z
HyErn3Blm	null	0	0	2018-07-12	18:51:45	2018-07-12T04:51:45.000Z
HyErn3Blm	null	0	0	2018-07-12	19:06:45	2018-07-12T05:06:45.000Z
HyErn3Blm	null	0	0	2018-07-12	19:21:45	2018-07-12T05:21:45.000Z
HyErn3Blm	null	0	0	2018-07-12	19:36:45	2018-07-12T05:36:45.000Z
HyErn3Blm	null	0	0	2018-07-12	19:51:45	2018-07-12T05:51:45.000Z
HyErn3Blm	null	0	0	2018-07-12	20:06:45	2018-07-12T06:06:45.000Z
HyErn3Blm	null	0	0	2018-07-12	20:21:45	2018-07-12T06:21:45.000Z
HyErn3Blm	null	0	0	2018-07-12	20:36:45	2018-07-12T06:36:45.000Z
