slots	current	kWh
00:00	0	0
00:15	0	0
00:30	0	0
00:45	0	0
01:00	0	0
01:15	0	0
01:30	0	0
01:45	0	0
02:00	0	0
02:15	0	0
02:30	0	0
02:45	0	0
03:00	0	0
03:15	0	0
03:30	0.18	10.41
03:45	2.84	167.61
04:00	0	0
04:15	0	0
04:30	0	0
04:45	0	0
05:00	0.13	7.65
05:15	1.1	63.45
05:30	0	0
05:45	0	0
06:00	0	0
06:15	1.88	110.18
06:30	0.52	30.6
06:45	0	0
07:00	0	0
07:15	0	0
07:30	0	0
07:45	1.27	73.98
08:00	0.34	19.77
08:15	0	0
08:30	0	0
08:45	0	0
09:00	0	0
09:15	0	0
09:30	0	0
09:45	0	0
10:00	1.24	73.46
10:15	2.14	127.18
10:30	0	0
10:45	0	0
11:00	0	0
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0	0
13:15	0	0
13:30	0	0
13:45	0	0
14:00	0	0
14:15	0	0
14:30	0	0
14:45	1.15	68.71
15:00	1.37	81.73
15:15	0	0
15:30	0	0
15:45	0	0
16:00	0.38	22.75
16:15	0.67	40.15
16:30	1.54	91.63
16:45	3.15	187.45
17:00	0	0
17:15	0	0
17:30	0	0
17:45	0	0
18:00	0	0
18:15	0	0
18:30	0	0
18:45	0	0
19:00	0	0
19:15	0	0
19:30	0	0
19:45	0	0
20:00	0	0
20:15	0	0
20:30	0	0
20:45	0	0
21:00	0	0
21:15	0	0
21:30	0	0
21:45	0	0
22:00	0	0
22:15	0	0
22:30	0	0
22:45	0	0
23:00	0	0
23:15	2.14	126.22
23:30	1.66	98.2
23:45	0	0
