slots	current	kWh
00:00	0	0
00:15	0	0
00:30	0	0
00:45	0	0
01:00	0	0
01:15	0	0
01:30	0	0
01:45	0	0
02:00	0	0
02:15	0	0.01
02:30	0	0
02:45	0	0
03:00	0	0
03:15	0	0
03:30	0	0
03:45	1.46	85.96
04:00	0	0
04:15	0	0.06
04:30	0.97	57.24
04:45	1.59	94.63
05:00	0.9	53.14
05:15	3.32	194.95
05:30	0.15	8.61
05:45	0	0
06:00	0	0
06:15	0	0
06:30	0	0
06:45	0	0
07:00	0	0
07:15	0	0
07:30	0	0
07:45	0	0
08:00	0	0
08:15	1.13	67.16
08:30	2.25	134.57
08:45	0	0
09:00	0	0
09:15	2.89	173.71
09:30	0	0
09:45	0	0
10:00	0	0
10:15	1.26	75.25
10:30	2.51	149.49
10:45	0.54	32.62
11:00	0	0
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0	0
13:15	0	0
13:30	0	0
13:45	0	0
14:00	0	0
14:15	0	0
14:30	0	0
14:45	0	0
15:00	0	0
15:15	0	0
15:30	0	0
15:45	0	0
16:00	0	0
16:15	0	0
16:30	0	0
16:45	0.08	5.1
17:00	1.13	67.57
17:15	0	0
17:30	0	0
17:45	0	0
18:00	0.99	59.49
18:15	3.24	193.08
18:30	0	0
18:45	2.95	175.71
19:00	0.14	8.4
19:15	0.81	48.24
19:30	3.27	193.72
19:45	0	0
20:00	0	0
20:15	0	0
20:30	0	0
20:45	0	0
21:00	0	0
21:15	0	0
21:30	0	0
21:45	0	0
22:00	0.07	4.4
22:15	2.68	159.4
22:30	0	0
22:45	0	0
23:00	0	0
23:15	0	0
23:30	0	0
23:45	0	0
