deviceID	flowData	current	watthourData	localDate	localTime	UTCtime
HyErn3Blm	null	0	0	2018-07-18	14:07:18	2018-07-18T00:07:18.000Z
HyErn3Blm	null	0	0	2018-07-18	14:22:18	2018-07-18T00:22:18.000Z
HyErn3Blm	null	2.02	120.85	2018-07-18	14:37:18	2018-07-18T00:37:18.000Z
HyErn3Blm	null	1.16	69.4	2018-07-18	14:52:18	2018-07-18T00:52:18.000Z
HyErn3Blm	null	2.07	123.6	2018-07-18	15:07:18	2018-07-18T01:07:18.000Z
HyErn3Blm	null	0	0	2018-07-18	15:22:18	2018-07-18T01:22:18.000Z
HyErn3Blm	null	0	0	2018-07-18	15:37:18	2018-07-18T01:37:18.000Z
HyErn3Blm	null	0	0	2018-07-18	15:52:18	2018-07-18T01:52:18.000Z
HyErn3Blm	null	0	0	2018-07-18	16:07:18	2018-07-18T02:07:18.000Z
HyErn3Blm	null	0	0	2018-07-18	16:22:18	2018-07-18T02:22:18.000Z
HyErn3Blm	null	0	0	2018-07-18	16:37:18	2018-07-18T02:37:18.000Z
HyErn3Blm	null	0	0	2018-07-18	16:52:18	2018-07-18T02:52:18.000Z
HyErn3Blm	null	0	0	2018-07-18	17:07:19	2018-07-18T03:07:19.000Z
HyErn3Blm	null	0	0	2018-07-18	17:22:19	2018-07-18T03:22:19.000Z
HyErn3Blm	null	0	0	2018-07-18	17:37:19	2018-07-18T03:37:19.000Z
HyErn3Blm	null	0	0	2018-07-18	17:52:19	2018-07-18T03:52:19.000Z
HyErn3Blm	null	0	0	2018-07-18	18:07:19	2018-07-18T04:07:19.000Z
HyErn3Blm	null	0	0	2018-07-18	18:22:19	2018-07-18T04:22:19.000Z
HyErn3Blm	null	0	0	2018-07-18	18:37:19	2018-07-18T04:37:19.000Z
HyErn3Blm	null	0	0	2018-07-18	18:52:19	2018-07-18T04:52:19.000Z
HyErn3Blm	null	0.86	51.24	2018-07-18	19:07:19	2018-07-18T05:07:19.000Z
HyErn3Blm	null	0	0	2018-07-18	19:22:19	2018-07-18T05:22:19.000Z
HyErn3Blm	null	2.53	150.09	2018-07-18	19:37:19	2018-07-18T05:37:19.000Z
HyErn3Blm	null	0	0	2018-07-18	19:52:19	2018-07-18T05:52:19.000Z
HyErn3Blm	null	0	0	2018-07-18	20:07:19	2018-07-18T06:07:19.000Z
HyErn3Blm	null	0	0	2018-07-18	20:22:19	2018-07-18T06:22:19.000Z
HyErn3Blm	null	0	0	2018-07-18	20:37:19	2018-07-18T06:37:19.000Z
HyErn3Blm	null	2.5	147.54	2018-07-18	20:52:20	2018-07-18T06:52:20.000Z
HyErn3Blm	null	3.28	192.63	2018-07-18	21:07:20	2018-07-18T07:07:20.000Z
HyErn3Blm	null	0	0	2018-07-18	21:22:20	2018-07-18T07:22:20.000Z
HyErn3Blm	null	0	0	2018-07-18	21:37:20	2018-07-18T07:37:20.000Z
HyErn3Blm	null	0	0	2018-07-18	21:52:20	2018-07-18T07:52:20.000Z
HyErn3Blm	null	1.22	72.82	2018-07-18	22:07:20	2018-07-18T08:07:20.000Z
HyErn3Blm	null	0	0	2018-07-18	22:22:20	2018-07-18T08:22:20.000Z
HyErn3Blm	null	0	0	2018-07-18	22:37:20	2018-07-18T08:37:20.000Z
HyErn3Blm	null	0	0	2018-07-18	22:52:20	2018-07-18T08:52:20.000Z
